Time[ms],"PL.CMD([Axis1] Position command)[deg]","VL.CMD([Axis1] Velocity command)[rpm]","VL.FBFILTER([Axis1] Velocity feedback filter)[rpm]",,,,,,,#ParentName,#Name,#Type,#Value
0,9.519,10.005,9.874,,,,,,,Root,DataStructureVersion,String,"V1.0"
12,10.231,9.751,9.877,,,,,,,Root,DataColumnCount,Integer,4
24,10.942,9.656,9.874,,,,,,,Root,Format,Group,
36,11.653,9.595,9.878,,,,,,,Format,ListSeparator,String,","
48,12.365,10.025,9.885,,,,,,,Format,DecimalSeparator,String,"."
60,13.078,10.153,9.889,,,,,,,Format,GroupSeparator,String,","
72,13.789,10.22,9.888,,,,,,,Root,Header,Group,
84,14.5,9.743,9.879,,,,,,,Header,ContentDescription,String,Kollmorgen WorkBench Scope
96,15.215,9.48,9.9,,,,,,,Header,UserNote,String,
108,15.926,9.899,9.888,,,,,,,Header,ExportDate,DateTime,2020-03-06 17:11:08 UTC
120,16.64,9.208,9.903,,,,,,,Root,XYTraceSources,Array(Group),3
132,17.352,9.493,9.901,,,,,,,XYTraceSources,XYTraceSource[0],Group,
144,18.065,9.334,9.898,,,,,,,XYTraceSource[0],XDataColumnIndex,Integer,0
156,18.778,10.241,9.905,,,,,,,XYTraceSource[0],XDataColumnIndex,Integer,1
168,19.491,9.677,9.903,,,,,,,XYTraceSource[0],Name,String,[Axis1] Position command
180,20.204,9.811,9.903,,,,,,,XYTraceSource[0],Unit,String,deg
192,20.919,9.748,9.913,,,,,,,XYTraceSource[0],DeviceName,String,"PL.CMD"
204,21.632,9.912,9.915,,,,,,,XYTraceSources,XYTraceSource[1],Group,
216,22.346,9.562,9.915,,,,,,,XYTraceSource[1],XDataColumnIndex,Integer,0
228,23.06,10.093,9.919,,,,,,,XYTraceSource[1],XDataColumnIndex,Integer,2
240,23.775,10.52,9.921,,,,,,,XYTraceSource[1],Name,String,[Axis1] Velocity command
252,24.489,9.507,9.921,,,,,,,XYTraceSource[1],Unit,String,rpm
264,25.204,10.532,9.924,,,,,,,XYTraceSource[1],DeviceName,String,"VL.CMD"
276,25.92,9.851,9.932,,,,,,,XYTraceSources,XYTraceSource[2],Group,
288,26.635,9.831,9.934,,,,,,,XYTraceSource[2],XDataColumnIndex,Integer,0
300,27.35,10.036,9.935,,,,,,,XYTraceSource[2],XDataColumnIndex,Integer,3
312,28.066,10.097,9.937,,,,,,,XYTraceSource[2],Name,String,[Axis1] Velocity feedback filter
324,28.781,9.96,9.94,,,,,,,XYTraceSource[2],Unit,String,rpm
336,29.497,10.48,9.945,,,,,,,XYTraceSource[2],DeviceName,String,"VL.FBFILTER"
348,30.214,10.056,9.943,,,,,,,,,,
360,30.93,9.794,9.948,,,,,,,,,,
372,31.647,9.841,9.951,,,,,,,,,,
384,32.364,9.789,9.954,,,,,,,,,,
396,33.081,10.059,9.961,,,,,,,,,,
408,33.798,10.1,9.961,,,,,,,,,,
420,34.516,9.889,9.964,,,,,,,,,,
432,35.234,10.204,9.969,,,,,,,,,,
444,35.952,9.715,9.968,,,,,,,,,,
456,36.67,10.185,9.972,,,,,,,,,,
468,37.388,9.414,9.974,,,,,,,,,,
480,38.107,9.926,9.982,,,,,,,,,,
492,38.826,10.029,9.983,,,,,,,,,,
504,39.545,10.313,9.987,,,,,,,,,,
516,40.265,10.042,9.989,,,,,,,,,,
528,40.985,10.734,9.998,,,,,,,,,,
540,41.704,10.176,9.996,,,,,,,,,,
552,42.425,10.31,10.001,,,,,,,,,,
564,43.145,9.741,10.001,,,,,,,,,,
576,43.865,10.13,10.005,,,,,,,,,,
588,44.587,10.269,10.01,,,,,,,,,,
600,45.308,9.958,10.013,,,,,,,,,,
612,46.03,9.809,10.016,,,,,,,,,,
624,46.751,10.551,10.02,,,,,,,,,,
636,47.474,9.446,10.027,,,,,,,,,,
648,48.196,9.635,10.03,,,,,,,,,,
660,48.918,9.792,10.032,,,,,,,,,,
672,49.641,9.803,10.039,,,,,,,,,,
684,50.364,10.24,10.044,,,,,,,,,,
696,51.087,10.084,10.042,,,,,,,,,,
708,51.811,10.116,10.048,,,,,,,,,,
720,52.536,9.86,10.052,,,,,,,,,,
732,53.259,9.872,10.054,,,,,,,,,,
744,53.984,9.896,10.059,,,,,,,,,,
756,54.709,9.97,10.065,,,,,,,,,,
768,55.434,10.172,10.066,,,,,,,,,,
780,56.159,10.168,10.068,,,,,,,,,,
792,56.885,10.289,10.076,,,,,,,,,,
804,57.611,10.319,10.076,,,,,,,,,,
816,58.337,9.514,10.08,,,,,,,,,,
828,59.064,9.796,10.085,,,,,,,,,,
840,59.79,9.687,10.088,,,,,,,,,,
852,60.517,10.259,10.094,,,,,,,,,,
