Time[ms],"PL.CMD([Axis1] Position command)[deg]","VL.CMD([Axis1] Velocity command)[rpm]","VL.FBFILTER([Axis1] Velocity feedback filter)[rpm]",,,,,,,#ParentName,#Name,#Type,#Value
0,59.394,8.605,8.374,,,,,,,Root,DataStructureVersion,String,"V1.0"
12,59.996,8.666,8.369,,,,,,,Root,DataColumnCount,Integer,4
24,60.599,8.441,8.372,,,,,,,Root,Format,Group,
36,61.202,8.248,8.374,,,,,,,Format,ListSeparator,String,","
48,61.805,9.329,8.373,,,,,,,Format,DecimalSeparator,String,"."
60,62.407,8.632,8.373,,,,,,,Format,GroupSeparator,String,","
72,63.01,8.003,8.369,,,,,,,Root,Header,Group,
84,63.612,8.223,8.368,,,,,,,Header,ContentDescription,String,Kollmorgen WorkBench Scope
96,64.215,8.679,8.368,,,,,,,Header,UserNote,String,
108,64.817,8.284,8.366,,,,,,,Header,ExportDate,DateTime,2020-03-06 17:22:47 UTC
120,65.42,8.36,8.366,,,,,,,Root,XYTraceSources,Array(Group),3
132,66.022,7.78,8.365,,,,,,,XYTraceSources,XYTraceSource[0],Group,
144,66.624,8.141,8.364,,,,,,,XYTraceSource[0],XDataColumnIndex,Integer,0
156,67.227,8.829,8.366,,,,,,,XYTraceSource[0],XDataColumnIndex,Integer,1
168,67.829,7.349,8.364,,,,,,,XYTraceSource[0],Name,String,[Axis1] Position command
180,68.431,8.22,8.364,,,,,,,XYTraceSource[0],Unit,String,deg
192,69.033,8.176,8.364,,,,,,,XYTraceSource[0],DeviceName,String,"PL.CMD"
204,69.636,8.608,8.367,,,,,,,XYTraceSources,XYTraceSource[1],Group,
216,70.237,8.459,8.363,,,,,,,XYTraceSource[1],XDataColumnIndex,Integer,0
228,70.839,8.215,8.36,,,,,,,XYTraceSource[1],XDataColumnIndex,Integer,2
240,71.441,7.802,8.357,,,,,,,XYTraceSource[1],Name,String,[Axis1] Velocity command
252,72.043,8.165,8.356,,,,,,,XYTraceSource[1],Unit,String,rpm
264,72.644,8.257,8.356,,,,,,,XYTraceSource[1],DeviceName,String,"VL.CMD"
276,73.246,8.417,8.356,,,,,,,XYTraceSources,XYTraceSource[2],Group,
288,73.847,8.656,8.352,,,,,,,XYTraceSource[2],XDataColumnIndex,Integer,0
300,74.449,8.356,8.352,,,,,,,XYTraceSource[2],XDataColumnIndex,Integer,3
312,75.051,8.38,8.354,,,,,,,XYTraceSource[2],Name,String,[Axis1] Velocity feedback filter
324,75.652,8.087,8.354,,,,,,,XYTraceSource[2],Unit,String,rpm
336,76.253,8.595,8.351,,,,,,,XYTraceSource[2],DeviceName,String,"VL.FBFILTER"
348,76.854,8.308,8.351,,,,,,,,,,
360,77.456,8.26,8.352,,,,,,,,,,
372,78.056,8.617,8.351,,,,,,,,,,
384,78.657,8.257,8.348,,,,,,,,,,
396,79.258,8.12,8.346,,,,,,,,,,
