Time[ms],"PL.CMD([Axis1] Position command)[deg]","VL.CMD([Axis1] Velocity command)[rpm]","VL.FBFILTER([Axis1] Velocity feedback filter)[rpm]",,,,,,,#ParentName,#Name,#Type,#Value
0,349.469,14.048,13.686,,,,,,,Root,DataStructureVersion,String,"V1.0"
12,350.455,13.887,13.685,,,,,,,Root,DataColumnCount,Integer,4
24,351.44,13.06,13.683,,,,,,,Root,Format,Group,
36,352.425,13.586,13.685,,,,,,,Format,ListSeparator,String,","
48,353.411,13.364,13.685,,,,,,,Format,DecimalSeparator,String,"."
60,354.395,13.808,13.679,,,,,,,Format,GroupSeparator,String,","
72,355.38,13.483,13.68,,,,,,,Root,Header,Group,
84,356.365,13.639,13.678,,,,,,,Header,ContentDescription,String,Kollmorgen WorkBench Scope
96,357.35,13.78,13.68,,,,,,,Header,UserNote,String,
108,358.334,14.03,13.677,,,,,,,Header,ExportDate,DateTime,2020-03-06 17:49:29 UTC
120,359.319,14.272,13.68,,,,,,,Root,XYTraceSources,Array(Group),3
132,0.204,13.39,13.671,,,,,,,XYTraceSources,XYTraceSource[0],Group,
144,1.189,13.867,13.685,,,,,,,XYTraceSource[0],XDataColumnIndex,Integer,0
156,2.173,13.733,13.671,,,,,,,XYTraceSource[0],XDataColumnIndex,Integer,1
168,3.158,13.529,13.676,,,,,,,XYTraceSource[0],Name,String,[Axis1] Position command
180,4.142,13.632,13.672,,,,,,,XYTraceSource[0],Unit,String,deg
192,5.126,13.748,13.67,,,,,,,XYTraceSource[0],DeviceName,String,"PL.CMD"
204,6.111,13.598,13.674,,,,,,,XYTraceSources,XYTraceSource[1],Group,
216,7.094,13.949,13.667,,,,,,,XYTraceSource[1],XDataColumnIndex,Integer,0
228,8.078,14.042,13.672,,,,,,,XYTraceSource[1],XDataColumnIndex,Integer,2
240,9.062,13.439,13.668,,,,,,,XYTraceSource[1],Name,String,[Axis1] Velocity command
252,10.046,13.633,13.667,,,,,,,XYTraceSource[1],Unit,String,rpm
264,11.03,13.873,13.665,,,,,,,XYTraceSource[1],DeviceName,String,"VL.CMD"
276,12.014,14.135,13.666,,,,,,,XYTraceSources,XYTraceSource[2],Group,
288,12.998,13.389,13.665,,,,,,,XYTraceSource[2],XDataColumnIndex,Integer,0
300,13.981,14.051,13.662,,,,,,,XYTraceSource[2],XDataColumnIndex,Integer,3
312,14.965,13.512,13.663,,,,,,,XYTraceSource[2],Name,String,[Axis1] Velocity feedback filter
324,15.948,14.145,13.66,,,,,,,XYTraceSource[2],Unit,String,rpm
336,16.932,13.632,13.659,,,,,,,XYTraceSource[2],DeviceName,String,"VL.FBFILTER"
348,17.915,13.912,13.657,,,,,,,,,,
360,18.899,13.682,13.659,,,,,,,,,,
372,19.882,13.307,13.656,,,,,,,,,,
384,20.865,13.314,13.655,,,,,,,,,,
396,21.848,13.438,13.654,,,,,,,,,,
408,22.831,13.625,13.652,,,,,,,,,,
420,23.814,14.01,13.651,,,,,,,,,,
432,24.797,13.939,13.655,,,,,,,,,,
444,25.779,13.931,13.651,,,,,,,,,,
456,26.762,13.358,13.647,,,,,,,,,,
468,27.745,14.018,13.653,,,,,,,,,,
480,28.727,13.635,13.646,,,,,,,,,,
492,29.709,13.925,13.646,,,,,,,,,,
504,30.692,13.763,13.645,,,,,,,,,,
516,31.674,14.114,13.644,,,,,,,,,,
528,32.656,13.955,13.645,,,,,,,,,,
540,33.639,13.609,13.64,,,,,,,,,,
552,34.621,13.923,13.642,,,,,,,,,,
564,35.603,13.443,13.639,,,,,,,,,,
576,36.584,13.628,13.636,,,,,,,,,,
588,37.566,13.692,13.635,,,,,,,,,,
600,38.548,13.673,13.635,,,,,,,,,,
612,39.53,14.306,13.639,,,,,,,,,,
624,40.512,13.254,13.635,,,,,,,,,,
636,41.493,14.108,13.636,,,,,,,,,,
648,42.474,13.782,13.63,,,,,,,,,,
660,43.456,13.504,13.631,,,,,,,,,,
672,44.437,13.754,13.628,,,,,,,,,,
684,45.418,13.367,13.628,,,,,,,,,,
696,46.4,13.954,13.63,,,,,,,,,,
708,47.381,13.348,13.627,,,,,,,,,,
720,48.362,13.831,13.628,,,,,,,,,,
732,49.343,13.258,13.626,,,,,,,,,,
744,50.323,14.004,13.624,,,,,,,,,,
756,51.304,13.717,13.623,,,,,,,,,,
768,52.285,13.77,13.619,,,,,,,,,,
780,53.266,13.581,13.62,,,,,,,,,,
792,54.247,13.446,13.622,,,,,,,,,,
804,55.227,13.62,13.619,,,,,,,,,,
816,56.207,13.357,13.621,,,,,,,,,,
828,57.187,13.271,13.614,,,,,,,,,,
840,58.168,13.527,13.617,,,,,,,,,,
852,59.148,13.371,13.614,,,,,,,,,,
864,60.128,13.887,13.614,,,,,,,,,,
876,61.109,13.485,13.615,,,,,,,,,,
888,62.088,13.975,13.612,,,,,,,,,,
900,63.068,13.313,13.611,,,,,,,,,,
912,64.047,13.619,13.606,,,,,,,,,,
924,65.027,13.576,13.607,,,,,,,,,,
936,66.007,13.753,13.608,,,,,,,,,,
948,66.986,13.849,13.605,,,,,,,,,,
960,67.966,13.779,13.605,,,,,,,,,,
972,68.945,13.204,13.602,,,,,,,,,,
984,69.924,13.163,13.601,,,,,,,,,,
996,70.904,13.101,13.6,,,,,,,,,,
1008,71.883,13.175,13.597,,,,,,,,,,
1020,72.862,13.563,13.599,,,,,,,,,,
1032,73.841,13.387,13.595,,,,,,,,,,
1044,74.82,13.416,13.597,,,,,,,,,,
1056,75.799,13.208,13.598,,,,,,,,,,
1068,76.777,13.781,13.594,,,,,,,,,,
1080,77.756,13.288,13.594,,,,,,,,,,
1092,78.734,13.648,13.589,,,,,,,,,,
1104,79.713,13.945,13.591,,,,,,,,,,
1116,80.692,13.606,13.591,,,,,,,,,,
1128,81.669,14.375,13.587,,,,,,,,,,
1140,82.648,13.408,13.59,,,,,,,,,,
1152,83.627,13.178,13.589,,,,,,,,,,
1164,84.604,13.825,13.585,,,,,,,,,,
1176,85.582,13.709,13.586,,,,,,,,,,
1188,86.56,14.02,13.584,,,,,,,,,,
1200,87.538,13.721,13.582,,,,,,,,,,
1212,88.516,12.737,13.58,,,,,,,,,,
1224,89.494,13.745,13.579,,,,,,,,,,
1236,90.473,13.816,13.593,,,,,,,,,,
1248,91.449,13.4,13.57,,,,,,,,,,
1260,92.428,14.351,13.591,,,,,,,,,,
1272,93.404,13.576,13.574,,,,,,,,,,
1284,94.382,14.307,13.576,,,,,,,,,,
1296,95.359,13.452,13.576,,,,,,,,,,
1308,96.337,13.578,13.574,,,,,,,,,,
1320,97.314,13.108,13.576,,,,,,,,,,
1332,98.292,13.838,13.583,,,,,,,,,,
1344,99.268,13.042,13.559,,,,,,,,,,
1356,100.248,14.003,13.595,,,,,,,,,,
1368,101.223,13.548,13.569,,,,,,,,,,
1380,102.2,13.444,13.571,,,,,,,,,,
1392,103.178,13.159,13.571,,,,,,,,,,
1404,104.155,13.027,13.57,,,,,,,,,,
1416,105.132,13.596,13.572,,,,,,,,,,
1428,106.109,13.201,13.573,,,,,,,,,,
1440,107.086,13.682,13.568,,,,,,,,,,
1452,108.062,13.308,13.568,,,,,,,,,,
1464,109.039,13.681,13.564,,,,,,,,,,
1476,110.016,13.367,13.565,,,,,,,,,,
1488,110.993,13.452,13.566,,,,,,,,,,
1500,111.969,14.599,13.566,,,,,,,,,,
1512,112.946,13.94,13.568,,,,,,,,,,
1524,113.923,13.686,13.57,,,,,,,,,,
1536,114.899,13.684,13.562,,,,,,,,,,
1548,115.876,13.518,13.562,,,,,,,,,,
1560,116.852,13.338,13.558,,,,,,,,,,
1572,117.828,13.85,13.561,,,,,,,,,,
1584,118.805,13.563,13.563,,,,,,,,,,
1596,119.782,14.391,13.563,,,,,,,,,,
1608,120.758,14.011,13.564,,,,,,,,,,
1620,121.735,13.476,13.565,,,,,,,,,,
1632,122.711,13.606,13.562,,,,,,,,,,
