Time[ms],"PL.CMD([Axis1] Position command)[deg]","VL.CMD([Axis1] Velocity command)[rpm]","VL.FBFILTER([Axis1] Velocity feedback filter)[rpm]",,,,,,,#ParentName,#Name,#Type,#Value
0,92.369,7.656,7.565,,,,,,,Root,DataStructureVersion,String,"V1.0"
12,92.914,7.03,7.565,,,,,,,Root,DataColumnCount,Integer,4
24,93.459,7.444,7.569,,,,,,,Root,Format,Group,
36,94.004,7.278,7.567,,,,,,,Format,ListSeparator,String,","
48,94.549,7.603,7.569,,,,,,,Format,DecimalSeparator,String,"."
60,95.094,7.533,7.569,,,,,,,Format,GroupSeparator,String,","
72,95.639,7.961,7.574,,,,,,,Root,Header,Group,
84,96.185,7.907,7.573,,,,,,,Header,ContentDescription,String,Kollmorgen WorkBench Scope
96,96.73,7.395,7.572,,,,,,,Header,UserNote,String,
108,97.276,7.653,7.576,,,,,,,Header,ExportDate,DateTime,2020-03-06 16:53:50 UTC
120,97.821,7.588,7.576,,,,,,,Root,XYTraceSources,Array(Group),3
132,98.367,7.461,7.578,,,,,,,XYTraceSources,XYTraceSource[0],Group,
144,98.913,7.638,7.578,,,,,,,XYTraceSource[0],XDataColumnIndex,Integer,0
156,99.459,7.377,7.58,,,,,,,XYTraceSource[0],XDataColumnIndex,Integer,1
168,100.004,7.606,7.582,,,,,,,XYTraceSource[0],Name,String,[Axis1] Position command
180,100.551,7.737,7.583,,,,,,,XYTraceSource[0],Unit,String,deg
192,101.097,7.389,7.583,,,,,,,XYTraceSource[0],DeviceName,String,"PL.CMD"
204,101.643,7.53,7.587,,,,,,,XYTraceSources,XYTraceSource[1],Group,
216,102.189,7.777,7.588,,,,,,,XYTraceSource[1],XDataColumnIndex,Integer,0
228,102.736,7.429,7.587,,,,,,,XYTraceSource[1],XDataColumnIndex,Integer,2
240,103.283,7.807,7.59,,,,,,,XYTraceSource[1],Name,String,[Axis1] Velocity command
252,103.829,7.535,7.591,,,,,,,XYTraceSource[1],Unit,String,rpm
264,104.376,7.111,7.592,,,,,,,XYTraceSource[1],DeviceName,String,"VL.CMD"
276,104.922,7.754,7.592,,,,,,,XYTraceSources,XYTraceSource[2],Group,
288,105.47,7.005,7.594,,,,,,,XYTraceSource[2],XDataColumnIndex,Integer,0
300,106.017,7.514,7.598,,,,,,,XYTraceSource[2],XDataColumnIndex,Integer,3
312,106.564,7.846,7.599,,,,,,,XYTraceSource[2],Name,String,[Axis1] Velocity feedback filter
324,107.111,7.636,7.601,,,,,,,XYTraceSource[2],Unit,String,rpm
336,107.659,7.709,7.602,,,,,,,XYTraceSource[2],DeviceName,String,"VL.FBFILTER"
348,108.207,7.364,7.61,,,,,,,,,,
360,108.755,7.164,7.614,,,,,,,,,,
372,109.303,7.91,7.616,,,,,,,,,,
384,109.851,7.452,7.62,,,,,,,,,,
396,110.398,7.802,7.615,,,,,,,,,,
408,110.946,7.967,7.617,,,,,,,,,,
420,111.495,7.383,7.615,,,,,,,,,,
432,112.043,7.37,7.614,,,,,,,,,,
444,112.592,7.459,7.619,,,,,,,,,,
456,113.141,7.481,7.623,,,,,,,,,,
468,113.689,7.534,7.623,,,,,,,,,,
480,114.238,7.643,7.622,,,,,,,,,,
492,114.788,8.002,7.625,,,,,,,,,,
504,115.337,7.533,7.626,,,,,,,,,,
516,115.887,8.176,7.632,,,,,,,,,,
528,116.435,7.091,7.612,,,,,,,,,,
540,116.985,6.126,7.615,,,,,,,,,,
552,117.536,7.861,7.625,,,,,,,,,,
564,118.084,7.138,7.615,,,,,,,,,,
576,118.636,8.07,7.633,,,,,,,,,,
588,119.187,8.069,7.642,,,,,,,,,,
600,119.738,7.575,7.649,,,,,,,,,,
612,120.288,8.118,7.646,,,,,,,,,,
624,120.839,7.5,7.649,,,,,,,,,,
636,121.39,7.314,7.648,,,,,,,,,,
648,121.942,7.321,7.656,,,,,,,,,,
660,122.492,7.251,7.654,,,,,,,,,,
672,123.044,7.775,7.655,,,,,,,,,,
684,123.595,7.828,7.659,,,,,,,,,,
696,124.148,7.444,7.661,,,,,,,,,,
708,124.699,7.537,7.667,,,,,,,,,,
720,125.251,7.759,7.667,,,,,,,,,,
732,125.804,7.561,7.666,,,,,,,,,,
744,126.356,7.496,7.668,,,,,,,,,,
756,126.909,7.809,7.679,,,,,,,,,,
768,127.462,8.223,7.672,,,,,,,,,,
780,128.015,7.55,7.678,,,,,,,,,,
792,128.568,7.468,7.679,,,,,,,,,,
804,129.122,7.715,7.687,,,,,,,,,,
816,129.674,6.696,7.684,,,,,,,,,,
828,130.228,7.791,7.687,,,,,,,,,,
840,130.782,7.566,7.689,,,,,,,,,,
852,131.336,7.416,7.693,,,,,,,,,,
864,131.89,8.172,7.697,,,,,,,,,,
876,132.444,7.71,7.694,,,,,,,,,,
888,132.998,7.132,7.696,,,,,,,,,,
900,133.553,7.766,7.697,,,,,,,,,,
912,134.108,7.686,7.709,,,,,,,,,,
924,134.662,8.06,7.707,,,,,,,,,,
936,135.218,8.089,7.707,,,,,,,,,,
948,135.773,7.668,7.712,,,,,,,,,,
960,136.329,7.445,7.715,,,,,,,,,,
972,136.884,7.871,7.715,,,,,,,,,,
984,137.44,8.019,7.719,,,,,,,,,,
996,137.996,7.446,7.716,,,,,,,,,,
1008,138.552,6.682,7.72,,,,,,,,,,
1020,139.109,7.739,7.729,,,,,,,,,,
1032,139.665,7.429,7.723,,,,,,,,,,
1044,140.222,7.611,7.729,,,,,,,,,,
1056,140.779,7.944,7.732,,,,,,,,,,
1068,141.336,7.375,7.737,,,,,,,,,,
1080,141.893,7.746,7.741,,,,,,,,,,
1092,142.45,7.341,7.738,,,,,,,,,,
1104,143.007,7.428,7.736,,,,,,,,,,
1116,143.565,7.983,7.745,,,,,,,,,,
1128,144.124,8.059,7.752,,,,,,,,,,
1140,144.681,7.506,7.75,,,,,,,,,,
1152,145.239,7.67,7.75,,,,,,,,,,
1164,145.798,7.706,7.752,,,,,,,,,,
1176,146.356,8.176,7.757,,,,,,,,,,
1188,146.915,8.023,7.76,,,,,,,,,,
1200,147.474,7.916,7.763,,,,,,,,,,
1212,148.033,7.837,7.764,,,,,,,,,,
1224,148.592,6.796,7.763,,,,,,,,,,
1236,149.152,7.843,7.769,,,,,,,,,,
1248,149.712,7.922,7.773,,,,,,,,,,
1260,150.271,7.268,7.772,,,,,,,,,,
