Time[ms]	PL.CMD([Axis1] Position command)[deg]	VL.CMD([Axis1] Velocity command)[rpm]	VL.FBFILTER([Axis1] Velocity feedback filter)[rpm]							#ParentName	#Name	#Type	#Value
0	3.24	13.55	13.556							Root	DataStructureVersion	String	V1.0
12	4.216	13.442	13.554							Root	DataColumnCount	Integer	4
24	5.192	13.253	13.557							Root	Format	Group	
36	6.169	13.421	13.562							Format	ListSeparator	String	","
48	7.145	13.59	13.558							Format	DecimalSeparator	String	.
60	8.121	13.435	13.559							Format	GroupSeparator	String	","
72	9.098	13.486	13.559							Root	Header	Group	
84	10.073	13.7	13.558							Header	ContentDescription	String	Kollmorgen WorkBench Scope
96	11.05	13.88	13.56							Header	UserNote	String	
108	12.026	13.448	13.557							Header	ExportDate	DateTime	2020-03-06 18:03:07 UTC
120	13.003	13.275	13.559							Root	XYTraceSources	Array(Group)	3
132	13.979	13.188	13.565							XYTraceSources	XYTraceSource[0]	Group	
144	14.955	13.738	13.561							XYTraceSource[0]	XDataColumnIndex	Integer	0
156	15.932	13.932	13.563							XYTraceSource[0]	XDataColumnIndex	Integer	1
168	16.909	13.712	13.562							XYTraceSource[0]	Name	String	[Axis1] Position command
180	17.884	13.468	13.557							XYTraceSource[0]	Unit	String	deg
192	18.861	13.275	13.561							XYTraceSource[0]	DeviceName	String	PL.CMD
204	19.837	12.799	13.557							XYTraceSources	XYTraceSource[1]	Group	
216	20.814	13.394	13.562							XYTraceSource[1]	XDataColumnIndex	Integer	0
228	21.791	13.405	13.567							XYTraceSource[1]	XDataColumnIndex	Integer	2
240	22.768	13.549	13.562							XYTraceSource[1]	Name	String	[Axis1] Velocity command
252	23.744	13.768	13.565							XYTraceSource[1]	Unit	String	rpm
264	24.721	13.7	13.563							XYTraceSource[1]	DeviceName	String	VL.CMD
276	25.697	13.933	13.562							XYTraceSources	XYTraceSource[2]	Group	
288	26.674	13.754	13.563							XYTraceSource[2]	XDataColumnIndex	Integer	0
300	27.651	13.175	13.563							XYTraceSource[2]	XDataColumnIndex	Integer	3
312	28.628	13.464	13.566							XYTraceSource[2]	Name	String	[Axis1] Velocity feedback filter
324	29.605	13.828	13.569							XYTraceSource[2]	Unit	String	rpm
336	30.581	13.85	13.563							XYTraceSource[2]	DeviceName	String	VL.FBFILTER
348	31.558	14.27	13.571										
360	32.535	13.546	13.565										
372	33.511	14.086	13.565										
384	34.488	13.381	13.568										
396	35.465	13.457	13.564										
408	36.442	13.317	13.567										
420	37.419	13.296	13.57										
432	38.396	13.204	13.565										
444	39.372	13.173	13.57										
456	40.35	13.469	13.568										
468	41.326	13.489	13.567										
480	42.303	13.339	13.567										
492	43.281	13.414	13.567										
504	44.257	13.451	13.569										
516	45.235	13.349	13.572										
528	46.211	13.988	13.569										
540	47.189	13.227	13.572										
552	48.166	13.466	13.568										
564	49.143	13.752	13.569										
576	50.12	13.445	13.569										
588	51.097	14.4	13.571										
600	52.074	13.6	13.571										
612	53.052	13.262	13.575										
624	54.029	13.575	13.571										
636	55.006	13.747	13.573										
648	55.983	13.686	13.57										
660	56.96	13.838	13.571										
672	57.937	12.955	13.57										
684	58.914	13.863	13.571										
696	59.892	14.144	13.574										
708	60.869	13.267	13.573										
720	61.846	14.037	13.573										
732	62.823	13.451	13.575										
744	63.8	13.836	13.57										
756	64.778	13.741	13.573										
768	65.755	13.897	13.573										
780	66.732	13.373	13.572										
792	67.709	13.677	13.576										
804	68.687	13.245	13.575										
816	69.664	13.795	13.574										
828	70.641	13.384	13.575										
840	71.618	13.458	13.571										
852	72.596	13.631	13.574										
864	73.573	12.991	13.574										
876	74.55	13.855	13.574										
888	75.528	13.627	13.579										
900	76.505	13.566	13.575										
912	77.482	13.111	13.573										
924	78.46	13.331	13.573										
936	79.437	13.365	13.57										
948	80.414	13.641	13.574										
960	81.392	13.665	13.571										
972	82.369	13.568	13.574										
984	83.347	13.534	13.579										
996	84.324	13.047	13.574										
1008	85.301	14.162	13.579										
1020	86.279	13.469	13.574										
1032	87.256	13.876	13.573										
1044	88.234	13.339	13.576										
1056	89.211	14.204	13.574										
1068	90.189	14.227	13.58										
1080	91.166	13.598	13.58										
1092	92.145	13.226	13.583										
1104	93.12	13.832	13.57										
1116	94.1	12.933	13.58										
1128	95.076	13.666	13.575										
1140	96.054	13.527	13.579										
1152	97.031	13.454	13.577										
1164	98.009	13.517	13.584										
1176	98.987	12.945	13.582										
1188	99.965	13.73	13.578										
1200	100.942	13.824	13.579										
1212	101.92	13.205	13.577										
1224	102.898	13.573	13.577										
1236	103.876	12.639	13.579										
1248	104.853	13.532	13.578										
1260	105.831	13.838	13.586										
1272	106.809	13.516	13.583										
1284	107.787	13.301	13.58										
1296	108.765	13.196	13.579										
1308	109.742	13.431	13.576										
1320	110.721	13.773	13.582										
1332	111.698	13.536	13.58										
1344	112.676	13.513	13.582										
1356	113.655	13.633	13.584										
1368	114.633	13.251	13.583										
1380	115.611	13.44	13.582										
1392	116.589	13.355	13.582										
1404	117.567	13.281	13.576										
1416	118.545	13.531	13.584										
1428	119.523	13.973	13.583										
1440	120.501	14.303	13.589										
1452	121.479	13.627	13.588										
1464	122.457	13.604	13.587										
1476	123.435	13.384	13.585										
1488	124.414	13.863	13.584										
1500	125.392	13.997	13.587										
1512	126.37	13.874	13.588										
1524	127.348	13.752	13.588										
1536	128.327	13.704	13.59										
1548	129.305	13.473	13.594										
1560	130.283	13.808	13.582										
1572	131.263	13.756	13.598										
1584	132.24	13.091	13.585										
1596	133.219	13.772	13.59										
1608	134.198	13.103	13.591										
1620	135.176	13.978	13.59										
1632	136.155	13.505	13.598										
1644	137.133	13.748	13.588										
1656	138.112	13.067	13.593										
1668	139.091	13.202	13.589										
1680	140.069	13.474	13.591										
1692	141.048	13.515	13.595										
1704	142.027	13.385	13.595										
1716	143.006	13.705	13.597										
1728	143.985	13.701	13.6										
1740	144.964	13.452	13.595										
1752	145.943	13.52	13.598										
1764	146.922	12.794	13.593										
1776	147.902	13.451	13.599										
1788	148.881	13.268	13.6										
1800	149.86	13.953	13.6										
1812	150.84	14.146	13.607										
1824	151.82	13.145	13.602										
1836	152.799	13.634	13.6										
1848	153.778	13.552	13.604										
1860	154.758	13.688	13.606										
1872	155.738	13.493	13.608										
1884	156.717	14.013	13.606										
1896	157.698	13.829	13.611										
1908	158.678	13.873	13.613										
1920	159.657	13.738	13.608										
1932	160.637	13.731	13.613										
1944	161.617	13.343	13.61										
1956	162.597	13.585	13.613										
1968	163.578	13.573	13.61										
1980	164.558	14.013	13.616										
1992	165.539	14.015	13.62										
2004	166.519	13.461	13.615										
2016	167.5	14.036	13.619										
2028	168.48	14.145	13.619										
2040	169.461	13.8	13.619										
2052	170.442	14.108	13.626										
2064	171.423	13.368	13.623										
2076	172.404	13.677	13.628										
2088	173.385	13.106	13.623										
2100	174.366	13.64	13.627										
2112	175.347	13.981	13.628										
2124	176.328	13.319	13.625										
2136	177.31	14.656	13.632										
2148	178.291	13.543	13.629										
2160	179.273	13.989	13.633										
2172	180.255	13.501	13.631										
2184	181.236	14.043	13.636										
2196	182.218	13.523	13.632										
2208	183.2	14.015	13.641										
2220	184.181	13.597	13.636										
2232	185.163	14.026	13.637										
2244	186.146	13.692	13.642										
2256	187.128	13.321	13.64										
2268	188.109	13.767	13.639										
2280	189.091	13.637	13.638										
2292	190.074	14.251	13.64										
2304	191.056	13.618	13.642										
2316	192.038	13.734	13.642										
2328	193.021	13.371	13.648										
2340	194.004	13.211	13.644										
2352	194.986	14.095	13.648										
2364	195.968	13.794	13.645										
2376	196.951	13.633	13.645										
2388	197.934	14.046	13.65										
2400	198.916	12.629	13.648										
2412	199.9	14.325	13.657										
2424	200.883	13.574	13.652										
2436	201.865	14.059	13.652										
2448	202.849	13.564	13.651										
2460	203.832	13.633	13.651										
2472	204.815	13.875	13.66										
2484	205.798	14.448	13.66										
2496	206.782	14.071	13.663										
2508	207.766	13.907	13.659										
2520	208.749	13.273	13.658										
2532	209.732	13.461	13.657										
2544	210.716	13.811	13.66										
2556	211.7	14.358	13.663										
2568	212.683	14.02	13.662										
2580	213.669	13.781	13.673										
2592	214.651	13.602	13.662										
2604	215.636	13.802	13.668										
2616	216.619	14.214	13.666										
2628	217.604	14.062	13.669										
2640	218.588	14.059	13.669										
2652	219.573	13.433	13.672										
2664	220.557	13.455	13.673										
2676	221.541	13.622	13.67										
2688	222.526	13.754	13.674										
2700	223.51	13.855	13.673										
2712	224.495	14.409	13.677										
2724	225.48	14.201	13.675										
2736	226.465	13.82	13.68										
2748	227.45	13.476	13.678										
2760	228.434	14.292	13.677										
2772	229.419	13.994	13.675										
2784	230.404	13.438	13.676										
2796	231.389	13.255	13.675										
2808	232.374	13.812	13.681										
2820	233.359	13.615	13.684										
2832	234.344	14.139	13.681										
2844	235.329	13.705	13.682										
2856	236.314	13.962	13.678										
2868	237.299	12.968	13.68										
2880	238.284	13.654	13.682										
2892	239.27	14.379	13.688										
2904	240.255	13.526	13.685										
2916	241.241	14.013	13.684										
2928	242.226	12.928	13.68										
2940	243.211	13.623	13.683										
2952	244.196	13.429	13.685										
2964	245.182	13.949	13.687										
2976	246.168	13.831	13.69										
2988	247.153	12.447	13.685										
3000	248.138	12.942	13.686										
3012	249.124	12.958	13.682										
3024	250.109	13.812	13.684										
3036	251.095	14.408	13.689										
3048	252.081	14.017	13.69										
3060	253.067	13.785	13.692										
3072	254.052	13.315	13.69										
3084	255.038	13.572	13.69										
3096	256.023	13.703	13.687										
3108	257.009	13.526	13.689										
3120	257.994	13.951	13.689										
3132	258.981	12.393	13.692										
3144	259.966	14.071	13.69										
3156	260.952	13.058	13.69										
3168	261.937	14.516	13.692										
3180	262.923	13.847	13.691										
3192	263.909	14.223	13.69										
3204	264.895	13.302	13.694										
3216	265.88	13.506	13.692										
3228	266.866	12.89	13.692										
3240	267.852	14.338	13.69										
3252	268.837	13.962	13.691										
3264	269.823	13.959	13.692										
3276	270.809	12.869	13.69										
3288	271.795	13.498	13.694										
3300	272.781	13.795	13.694										
3312	273.767	13.823	13.694										
3324	274.753	13.823	13.692										
3336	275.739	14.127	13.694										
3348	276.725	13.568	13.696										
3360	277.711	14.023	13.693										
3372	278.697	13.519	13.698										
3384	279.682	14.371	13.686										
3396	280.67	13.685	13.709										
3408	281.654	13.788	13.689										
3420	282.64	13.69	13.693										
3432	283.626	13.503	13.691										
3444	284.612	13.836	13.699										
3456	285.598	13.319	13.69										
3468	286.584	14.222	13.696										
3480	287.57	14.063	13.694										
3492	288.556	13.91	13.696										
3504	289.542	13.93	13.693										
3516	290.528	14.138	13.695										
3528	291.514	13.568	13.695										
3540	292.5	14.4	13.698										
3552	293.486	13.899	13.693										
3564	294.472	13.648	13.696										
3576	295.458	12.557	13.689										
3588	296.444	13.558	13.694										
3600	297.431	13.446	13.694										
3612	298.416	13.892	13.697										
3624	299.403	13.521	13.693										
3636	300.388	13.772	13.691										
3648	301.374	12.847	13.693										
3660	302.36	13.306	13.692										
3672	303.346	13.789	13.697										
3684	304.332	13.778	13.695										
3696	305.318	14.278	13.693										
3708	306.304	13.675	13.692										
3720	307.29	13.59	13.698										
3732	308.276	13.741	13.69										
3744	309.262	13.749	13.696										
3756	310.248	13.49	13.695										
3768	311.234	13.576	13.694										
3780	312.22	13.224	13.692										
3792	313.206	13.792	13.693										
3804	314.192	13.423	13.694										
3816	315.178	14.02	13.694										
3828	316.164	14.055	13.697										
3840	317.15	14.183	13.695										
3852	318.136	13.655	13.695										
3864	319.121	13.283	13.691										
3876	320.107	13.669	13.693										
3888	321.093	13.259	13.694										
3900	322.079	14.069	13.696										
3912	323.065	13.469	13.693										
3924	324.051	13.631	13.692										
3936	325.037	13.109	13.691										
3948	326.023	13.473	13.692										
3960	327.009	13.793	13.694										
3972	327.995	14.439	13.696										
3984	328.981	13.782	13.698										
3996	329.967	13.774	13.693										
4008	330.953	13.569	13.696										
4020	331.939	14.054	13.694										
4032	332.925	13.926	13.696										
4044	333.911	14.076	13.693										
4056	334.897	13.689	13.697										
4068	335.883	13.492	13.694										
